x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
0.20125052703545965,0.8299636241788276,0.8326311943653397,0.7780918299445286,0.35276624345495056,0.8825430876908736,0.5459712745088374,0.6575714865111397,0.8213187676842969,0.25715009632581387
0.8489462862256616,0.6028002931269569,0.6879041819167164,0.5474155365146041,0.6688664653409864,0.14577537748267466,0.34640957371638736,0.6638044376718447,0.0948460106830451,0.8019545468378662
0.5256450535770907,0.4479166299424018,0.28031472636552923,0.31560674245486897,0.2794212780339176,0.42070252716383094,0.3056491907778167,0.06718348625051063,0.8745371416613663,0.7643485454482729
0.012247664160826233,0.4124330079887035,0.8998290731770391,0.3026999690137018,0.5689318686464284,0.7745656960398589,0.08926724744004488,0.4336280609989349,0.9761244741294556,0.30007581472731093
0.9080920934336232,0.6226082469003262,0.8883665817889589,0.28958465273911693,0.5792543336686722,0.5274631766639682,0.30237590467074393,0.23883846556464516,0.2694995928580942,0.014608225163110555
0.1894001183227526,0.4714639602624644,0.5728470073171753,0.11466617036875293,0.3534437003191213,0.4670829733859656,0.5802155487135083,0.35556555575438786,0.748190002617343,0.7200414186927414
0.6204920278393806,0.09623549657741548,0.452859157541887,0.49445846028062845,0.7446864412405645,0.03989787554218238,0.06468346242278211,0.46733905978636636,0.8012925195260119,0.6330064779908919
0.6000914469370956,0.752515538820632,0.6295518517644172,0.8009986523662843,0.3221865673038663,0.5691854755569351,0.8775066066734448,0.25690296733640716,0.7088096217111653,0.13973798924522318
0.43207465848505755,0.5847760682884534,0.028638638871290145,0.3840024690144701,0.46283135696581224,0.28602568529162176,0.6018483200599035,0.31845029299666794,0.7263768679847197,0.06301267686297796
0.4764265901948933,0.826553900238861,0.6188483715660055,0.13811127053546468,0.6536012763093958,0.3065861392101431,0.6797023285037612,0.11966605061889624,0.34972089744689916,0.6963299114669498
